,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
102,Marzahn-Hellersdorf,52.533000946086,13.583000183122198,Chinesischer Garten des wiedergewonnenen Mondes,52.53644012386498,13.576382034852221,Garden
103,Marzahn-Hellersdorf,52.533000946086,13.583000183122198,Gärten der Welt,52.53777397547359,13.574016094207764,Garden
104,Marzahn-Hellersdorf,52.533000946086,13.583000183122198,Koreanischer Seouler Garten,52.539272984616396,13.579455078373423,Garden
105,Marzahn-Hellersdorf,52.533000946086,13.583000183122198,Orientalischer Garten der vier Ströme,52.539740428578206,13.575431326800851,Garden
106,Marzahn-Hellersdorf,52.533000946086,13.583000183122198,Japanischer Garten des zusammenfließenden Wassers,52.53856521112164,13.580213179216367,Garden
107,Marzahn-Hellersdorf,52.533000946086,13.583000183122198,Balinesischer Garten der drei Harmonien,52.539353075360715,13.577614532026486,Garden
108,Marzahn-Hellersdorf,52.533000946086,13.583000183122198,Irrgarten & Labyrinth,52.5375114392433,13.574081539371726,Garden
109,Marzahn-Hellersdorf,52.533000946086,13.583000183122198,dm-drogerie markt,52.5298272811253,13.594931361131103,Drugstore
110,Marzahn-Hellersdorf,52.533000946086,13.583000183122198,Lidl,52.5279945,13.5883892,Supermarket
111,Marzahn-Hellersdorf,52.533000946086,13.583000183122198,Lidl,52.5375869,13.5903345,Supermarket
112,Marzahn-Hellersdorf,52.533000946086,13.583000183122198,REWE,52.529414,13.594044,Supermarket
113,Marzahn-Hellersdorf,52.533000946086,13.583000183122198,Lidl,52.52913479999999,13.5710573,Supermarket
114,Marzahn-Hellersdorf,52.533000946086,13.583000183122198,Christlicher Garten,52.536893176043705,13.577853122205463,Garden
115,Marzahn-Hellersdorf,52.533000946086,13.583000183122198,Chinesisches Teehaus - Berghaus zum Osmanthussaft,52.53644862734648,13.576376668579217,Tea Room
116,Marzahn-Hellersdorf,52.533000946086,13.583000183122198,EDEKA Tatschke,52.53827876,13.59015462,Supermarket
117,Mitte,52.516998291086,13.366999626219,Haus der Kulturen der Welt,52.51859731619241,13.364739418029785,Performing Arts Venue
118,Mitte,52.516998291086,13.366999626219,Tipi am Kanzleramt,52.51824743478899,13.367187085208323,Comedy Club
119,Mitte,52.516998291086,13.366999626219,HKW Auditorium,52.51852234345796,13.364780014660967,Concert Hall
120,Mitte,52.516998291086,13.366999626219,Beethoven-Haydn-Mozart-Denkmal,52.51374443463019,13.370373080989987,Outdoor Sculpture
121,Mitte,52.516998291086,13.366999626219,Sowjetisches Ehrenmal Tiergarten,52.51682151784933,13.371895551681519,Monument / Landmark
122,Mitte,52.516998291086,13.366999626219,Купол Pейхстага (Reichstagskuppel),52.51854916947246,13.376098687509057,Scenic Lookout
123,Mitte,52.516998291086,13.366999626219,Reichstag,52.518503,13.376062,Capitol Building
124,Mitte,52.516998291086,13.366999626219,Großer Tiergarten,52.51462778550934,13.357207775115967,Park
125,Mitte,52.516998291086,13.366999626219,Zollpackhof,52.52122279223264,13.367035220106201,Beer Garden
126,Mitte,52.516998291086,13.366999626219,Paris-Moskau,52.522695363826976,13.364400102023664,French Restaurant
127,Mitte,52.516998291086,13.366999626219,Brandenburger Tor,52.516246979489246,13.377785682678223,Monument / Landmark
128,Mitte,52.516998291086,13.366999626219,Platz der Republik,52.51859078765349,13.372753858566284,Plaza
129,Mitte,52.516998291086,13.366999626219,Rosengarten,52.513972285563135,13.35688796731381,Garden
130,Mitte,52.516998291086,13.366999626219,Luiseninsel,52.51091480493819,13.364304521528554,Sculpture Garden
131,Mitte,52.516998291086,13.366999626219,Philharmonie,52.509975,13.369776,Concert Hall
132,Mitte,52.516998291086,13.366999626219,Steigenberger Spa,52.523586613570636,13.368029293903854,Spa
133,Mitte,52.516998291086,13.366999626219,Kammermusiksaal | Chamber Music Hall (Kammermusiksaal),52.50941070233693,13.368934392929077,Concert Hall
134,Mitte,52.516998291086,13.366999626219,Steigenberger Hotel Am Kanzleramt,52.523609784492315,13.368045438056027,Hotel
135,Mitte,52.516998291086,13.366999626219,Pariser Platz,52.51634348450438,13.379223346710205,Plaza
136,Mitte,52.516998291086,13.366999626219,Denkmal für die ermordeten Juden Europas,52.51386572739114,13.378545935106754,Monument / Landmark
137,Mitte,52.516998291086,13.366999626219,Spreeufer,52.520579368118966,13.377326225412698,Waterfront
138,Mitte,52.516998291086,13.366999626219,Calumet Photographic,52.523183,13.366734,Camera Store
139,Mitte,52.516998291086,13.366999626219,Hotel Adlon Kempinski Berlin,52.51603805458656,13.380124568939209,Hotel
140,Mitte,52.516998291086,13.366999626219,Butter Lindner,52.51787932321359,13.380449533542258,Gourmet Shop
141,Mitte,52.516998291086,13.366999626219,Adlon Spa by Resense,52.515823,13.380434,Spa
142,Mitte,52.516998291086,13.366999626219,"The Ritz-Carlton, Berlin",52.510184489083464,13.375436067581177,Hotel
143,Mitte,52.516998291086,13.366999626219,Pret A Manger,52.524322,13.369473,Sandwich Place
144,Mitte,52.516998291086,13.366999626219,Arsenal,52.509844465263065,13.37345151708385,Indie Movie Theater
145,Mitte,52.516998291086,13.366999626219,The Ritz Carlton Spa & Fitness Center,52.51023043679551,13.375132643365783,Spa
146,Mitte,52.516998291086,13.366999626219,Kanzlerpark,52.52018107026926,13.362979888916016,Park
147,Mitte,52.516998291086,13.366999626219,Sony Center,52.509868426200796,13.373475813552897,Building
148,Mitte,52.516998291086,13.366999626219,Berlin Marriott Hotel,52.51091092204795,13.376140147447586,Hotel
149,Mitte,52.516998291086,13.366999626219,The Curtain Club,52.510173,13.375372,Hotel Bar
150,Mitte,52.516998291086,13.366999626219,Gemäldegalerie,52.50896347323177,13.366553250421635,Art Museum
151,Mitte,52.516998291086,13.366999626219,Platz des 18. März,52.51619474835671,13.377270698547363,Plaza
152,Mitte,52.516998291086,13.366999626219,Herrmann-Wolff-Saal,52.509978800265046,13.369798064231873,Concert Hall
153,Mitte,52.516998291086,13.366999626219,Restaurant Quarré,52.51601581545151,13.379909992218018,Restaurant
154,Mitte,52.516998291086,13.366999626219,Sommerkino Kulturforum,52.50887524699256,13.366895914077759,Indie Movie Theater
155,Mitte,52.516998291086,13.366999626219,Schloss Bellevue,52.51760496714228,13.352798223495483,Palace
156,Mitte,52.516998291086,13.366999626219,India Club,52.514835149745636,13.379803689847819,Indian Restaurant
157,Mitte,52.516998291086,13.366999626219,Tucano Coffee,52.52260891990654,13.368006348609924,Coffee Shop
158,Mitte,52.516998291086,13.366999626219,Filmhaus am Potsdamer Platz,52.509910274148446,13.373497273963329,Museum
159,Mitte,52.516998291086,13.366999626219,Dussmann der MuseumsShop,52.50979976462031,13.373588705718559,Bookstore
160,Mitte,52.516998291086,13.366999626219,Balikci Ergün,52.51973918415058,13.357100152637567,Seafood Restaurant
161,Mitte,52.516998291086,13.366999626219,Spreeufer am Hauptbahnhof,52.52287982867757,13.369578123092651,Waterfront
162,Mitte,52.516998291086,13.366999626219,IntercityHotel Berlin Hauptbahnhof,52.52355041095177,13.367036174090213,Hotel
163,Mitte,52.516998291086,13.366999626219,Magnus-Hirschfeld-Ufer,52.51900208371135,13.361091613769531,Trail
164,Mitte,52.516998291086,13.366999626219,Lobby Lounge & Bar,52.516053,13.380251,Hotel Bar
165,Mitte,52.516998291086,13.366999626219,Sra Bua by Tim Raue,52.51504541570759,13.380998408040854,Asian Restaurant
166,Mitte,52.516998291086,13.366999626219,Lobby Lounge,52.5107541366566,13.375909591192682,Hotel Bar
167,Mitte,52.516998291086,13.366999626219,Motel One Berlin-Hauptbahnhof,52.52561923326395,13.36600575634014,Hotel
